1,['323' '323' '318' '318' '314'],1
1,['323' '323' '323' '323'],31
1,['314' '314' '314' '323' '323' '318' '318' '314' '323'],1
1,['323' '323' '323' '318'],1
1,['314' '323' '323' '318' '318' '314' '323' '323' '314'],1
1,['314' '314' '318' '318' '318' '272'],1
1,['308' '323' '323' '314' '314' '318' '314' '314' '314' '314'],1
1,['318' '314' '314' '314' '314' '314' '314' '314' '314' '314'],1
1,['454' '454' '327' '323' '323' '323' '323' '323' '323' '318'],1
1,['323' '323' '318' '318' '323' '323' '323' '323' '323' '323'],1
1,['314' '314' '318' '308' '323' '323' '314' '314' '318'],1
1,['461' '454' '454' '327' '323' '323' '323' '323' '323'],1
1,['323' '323' '323' '314' '314' '314' '312' '314' '314'],1
1,['323' '323' '323' '323' '330'],1
1,['314' '314' '318' '318' '318'],1
1,['314' '314' '314' '312' '314' '314' '314' '314'],1
1,['314' '323' '323' '318' '318' '314' '323' '323'],1
1,['323' '323' '323' '323' '314' '312' '314' '323' '323' '323'],1
1,['323' '323' '323' '323' '323' '323' '318'],1
1,['318' '318' '314' '323' '323' '314' '318' '318' '318' '314'],1
1,['323' '314' '314' '314' '312' '314' '314' '314' '314' '323'],1
1,['314' '314' '323' '323'],1
1,['330' '318' '323' '323' '323' '323' '323'],1
1,['314' '314' '314' '314' '318' '318'],1
1,['314' '318' '308' '323' '323' '314' '314' '318' '314'],1
1,['312' '314' '323' '323' '323' '323' '323' '323'],1
1,['314' '314' '323' '323' '318' '318' '314' '323' '323' '314'],1
1,['314' '314' '314' '314' '318' '318' '318'],1
1,['323' '323' '323' '323' '323' '323' '323' '323' '323' '314'],1
1,['314' '323' '323' '318' '318' '314'],1
1,['318' '323' '323' '323'],2
1,['323' '330' '318' '323' '323' '323'],1
1,['323' '323' '323' '323' '323'],26
1,['318' '314' '314' '314' '318' '308' '323' '323'],1
1,['323' '323' '323' '314' '314' '314' '312' '314' '314' '314'],1
1,['330' '318' '323' '323' '323' '323' '323' '323' '323'],1
1,['318' '323' '323' '318' '318' '323' '323' '323' '323'],1
1,['318' '318' '272' '272' '272' '272' '264' '264'],1
1,['314' '312' '314' '314' '314' '314' '323' '323' '318' '318'],1
1,['323' '330' '318' '323' '323'],1
1,['323' '323' '323' '323' '323' '330' '318'],1
1,['323' '323' '318' '318' '318'],1
1,['323' '323' '318' '318' '314' '323' '323' '314' '318' '318'],1
1,['323' '323' '330' '318'],1
1,['308' '323' '323' '314' '314' '318' '314'],1
1,['314' '318' '314' '314' '314'],1
1,['323' '323' '323' '323' '318' '318' '318' '323' '323' '318'],1
1,['318' '318' '323'],2
1,['454' '454'],1
1,['323' '314' '314' '314' '312' '314'],1
1,['323' '314' '314' '318' '314' '314' '314' '314'],1
1,['323' '323' '323' '323' '318' '318'],1
1,['461' '454' '454' '327' '323' '323' '323' '323'],1
1,['323' '318' '318' '314' '323' '323' '314' '318' '318' '318'],1
1,['323' '323' '323' '323' '314' '314' '314' '312' '314' '314'],1
1,['323' '314' '312'],1
1,['323' '318' '318' '323'],1
1,['314' '314' '314' '312' '314' '314' '314' '314' '323' '323'],1
1,['323' '323' '318' '318' '318' '323' '323'],1
1,['323' '314' '323' '323' '323' '323'],1
1,['323' '330'],1
1,['314' '314' '318' '318'],1
1,['323' '323' '323' '323' '323' '330' '318' '323' '323'],1
1,['323' '323' '323' '314' '312' '314' '323' '323' '323' '323'],1
1,['323' '323' '323' '314' '312' '314' '323'],1
1,['318' '318' '318' '272' '272' '272' '272' '264'],1
1,['323' '323' '330' '318' '323' '323' '323' '323'],1
1,['318' '318' '314' '314' '314' '318' '308' '323' '323' '314'],1
1,['318' '318' '318' '323' '323' '318' '318' '323' '323'],1
1,['318' '318' '318' '272' '272' '272' '272' '264' '264' '264'],1
1,['323' '323' '314' '314' '318'],1
1,['318' '272'],1
1,['318' '272' '272' '272' '272' '264' '264'],1
1,['323' '323' '323' '323' '323' '323' '314' '323' '323'],1
1,['314' '314' '318' '314' '314' '314'],1
1,['314' '318' '314' '314' '314' '314' '314' '314'],1
1,['330' '318' '323' '323' '323' '323' '323' '323'],1
1,['323' '314' '314' '318' '314' '314' '314' '314' '314' '314'],1
1,['318' '318' '314' '314' '314' '318' '308' '323' '323'],1
1,['323' '318' '318' '318' '323' '323' '318' '318'],1
1,['323' '323' '323' '323' '323' '318' '318' '318' '323'],1
1,['323' '323' '323' '323' '314' '312' '314' '323'],1
1,['314' '318' '308' '323' '323'],1
1,['323' '323' '314' '318' '318'],1
1,['323' '314' '318' '318' '318' '314' '314' '314' '318'],1
1,['314' '314' '314' '314' '314' '314' '314' '314' '314'],1
1,['318' '318' '323' '323' '318' '318' '323' '323' '323'],1
1,['454' '454' '327' '323' '323' '323' '323'],1
1,['314' '318' '314' '314' '314' '314' '314'],1
1,['314' '314' '323' '323' '318' '318' '314' '323'],1
1,['314' '314' '314' '314' '318' '318' '318' '272' '272'],1
1,['318' '314' '314'],2
1,['323' '323' '323' '323' '314' '312'],1
1,['318' '318' '323' '323' '323' '323' '323' '323' '323'],1
1,['323' '318' '318' '314'],1
1,['314' '314' '314' '318' '318' '318' '272' '272' '272' '272'],1
1,['323' '314' '314' '318' '314'],1
1,['323' '323' '323' '323' '314' '314' '314'],1
1,['327'],1
1,['323' '323' '323' '323' '314' '312' '314'],1
1,['314' '318' '314' '314'],1
1,['318' '314' '314' '314'],2
1,['323' '314' '312' '314'],1
1,['314' '314' '318' '318' '318' '272' '272' '272'],1
1,['323' '323' '323' '323' '323' '323' '323' '323' '330' '318'],1
1,['318' '318' '314' '314' '314' '318'],1
1,['323' '323' '323' '323' '323' '323' '323' '323' '314'],1
1,['323' '323' '314' '312' '314' '323' '323'],1
1,['318' '318' '272' '272' '272' '272'],1
1,['323' '323' '323' '323' '323' '314' '314' '314'],1
1,['314' '314' '314' '314' '314' '314' '314' '314' '318'],1
1,['323' '323' '323' '314' '323' '323' '323' '323' '323'],1
1,['323' '323' '323' '323' '323' '318' '318' '318' '323' '323'],1
1,['323' '323' '323' '323' '323' '323' '323' '330'],1
1,['318' '318' '272' '272' '272' '272' '264' '264' '264' '293'],1
1,['318' '318' '323' '323' '323' '323'],1
1,['314' '314' '314' '314' '318' '318' '318' '272'],1
1,['318' '314' '314' '314' '314' '314' '314'],1
1,['318' '323' '323' '323' '323' '323' '323' '323' '323' '323'],2
1,['314' '323' '323' '314'],1
1,['323' '314' '312' '314' '323' '323' '323'],1
