user_id,total_dist,total_calls,avg_dist,diff_calls,distance_no_repeats
1,0,1,0,0,0
5988,4.41826632706,174,0.0255391117171,5,1.10456658176
5989,0,110,0.0,0,0.0
5982,288.882995769,67,4.3770150874,26,11.5553198307
5983,51.2597637923,62,0.840323996595,40,1.31435291775
5980,17.0584987863,94,0.183424718132,4,5.68616626209
5981,39.662653193,62,0.650207429394,21,1.98313265965
5986,6.23062234566,24,0.270896623724,2,6.23062234566
5987,281.507242042,143,1.98244536649,77,3.70404265844
5984,147.470220847,85,1.75559786722,7,24.5783701411
5985,150.253749724,34,4.55314393103,10,16.6948610805
6796,242.708576284,410,0.593419501916,85,2.8893878129
6797,48.6449131464,568,0.0857934976127,51,0.972898262929
6794,105.072869242,288,0.366107558335,27,4.04126420162
6795,96.1315346309,37,2.67032040641,12,8.73923042099
6792,44.0655407573,64,0.699453027894,31,1.46885135858
6793,12.0826404708,65,0.188791257356,34,0.366140620328
6790,447.284604709,105,4.30081350681,15,31.9489003363
6791,75.2315649697,81,0.940394562121,50,1.53533806061
6798,35.5744606176,32,1.14756324573,4,11.8581535392
6799,54.4338834803,119,0.46130409729,72,0.766674415215
6294,13.1649607719,69,0.193602364292,17,0.822810048243
270,218.562221311,120,1.83665732194,25,9.1067592213
271,1178.91998862,137,8.66852932808,76,15.7189331816
272,37.5964413948,172,0.219862230379,58,0.659586691138
273,53.7643631921,260,0.207584413869,125,0.43358357413
274,0,48,0.0,0,0.0
275,1110.49688528,116,9.65649465461,42,27.0852898849
276,36.3707978905,59,0.627082722251,14,2.79775368389
277,134.934809827,131,1.0379600756,63,2.17636790044
278,558.955452358,95,5.94633459955,30,19.2743259434
279,50.4392896219,110,0.462745776348,41,1.26098224055
2143,178.020654067,52,3.49060106014,13,14.8350545056
2142,18.6219338212,205,0.0912839893196,32,0.600707542619
3519,246.976722139,63,3.98349551837,20,12.9987748494
3518,171.149933653,37,4.7541648237,16,11.4099955769
3513,198.07255835,171,1.16513269617,45,4.5016490534
3512,61.6726757756,74,0.844831175008,15,4.40519112683
3511,15.7738461187,64,0.25037850982,13,1.31448717656
3510,7.12518424214,44,0.16570195912,25,0.296882676756
3517,31.2324991654,50,0.637397942151,20,1.64381574555
3516,41.5252719642,40,1.06475056319,7,6.92087866071
3515,30.0620061465,72,0.423408537275,35,0.884176651369
3514,26.6380883757,33,0.832440261742,21,1.33190441879
2688,29.6622975177,39,0.780586776781,4,9.8874325059
2689,37.7663716087,59,0.651144338081,28,1.39875450403
2684,12.5611432416,59,0.216571435201,23,0.570961056438
2685,633.403966177,107,5.97550911488,41,15.8350991544
2686,0,46,0.0,0,0.0
2687,219.513420414,34,6.65192183072,16,14.6342280276
2680,11.1984143379,31,0.37328047793,19,0.622134129884
2681,58.385014092,52,1.14480419788,6,11.6770028184
2682,14.9087985467,41,0.372719963668,15,1.06491418191
2683,18.5073697961,42,0.451399263321,15,1.32195498544
99,264.34646688,42,6.44747480196,27,10.1671718031
98,22.0166687234,71,0.314523838906,35,0.6475490801
91,160.679261664,308,0.523385217146,136,1.19021675306
90,183.988964139,166,1.11508463114,103,1.80381337391
93,13.0136847691,154,0.0850567631969,44,0.30264383184
92,54.3231537899,153,0.35738916967,41,1.35807884475
95,449.095509003,119,3.80589414409,76,5.98794012003
94,49.2752691447,129,0.384963040193,47,1.07120150315
97,238.882194458,153,1.57159338459,33,7.46506857681
96,178.809540986,67,2.70923546949,47,3.88716393448
1177,34.8053467969,148,0.236771066646,81,0.435066834962
1176,71.2366904939,33,2.22614657793,19,3.95759391633
1175,16.8917330825,88,0.194157851523,16,1.12611553883
1174,16.7778010802,55,0.310700020004,15,1.19841436287
1173,122.2054595,300,0.408713911371,107,1.1528816934
1172,99.8134779065,19,5.54519321703,8,14.2590682724
1171,2.12476958739,40,0.0544812714715,10,0.23608550971
1170,109.486669612,146,0.755080480082,71,1.56409528017
1179,134.58148144,102,1.33248991524,53,2.5881054123
1178,192.332184986,30,6.63214430987,6,38.4664369973
7188,31.555908583,64,0.500887437825,23,1.43435948104
876,119.709182792,60,2.02896919987,26,4.7883673117
877,33.085761619,78,0.429685215832,6,6.61715232381
7180,8.05281812777,60,0.136488442844,19,0.447378784876
7181,21.7161385876,35,0.638709958457,14,1.67047219904
7182,24.5679306919,143,0.173013596421,7,4.09465511531
7183,19.3710117976,59,0.333982962027,18,1.13947128221
