1,668
2,104
3,54
4,111
5,249
6,343
7,0
8,115
9,139
10,216
11,106
12,78
13,246
14,245
15,109
16,211
17,126
18,0
19,306
20,0
21,124
22,194
23,215
24,458
25,95
26,428
27,59
28,759
29,214
30,105
31,412
32,93
33,124
34,212
35,218
36,144
37,148
38,174
39,189
40,112
41,135
42,343
43,0
44,111
45,119
46,154
47,115
48,211
49,83
50,278
51,419
52,229
53,283
54,0
55,171
56,216
57,280
58,268
59,76
60,244
61,34
62,60
63,285
64,101
65,113
66,30
67,60
68,183
69,354
70,122
71,154
72,400
73,370
74,35
75,136
76,112
77,117
78,155
79,74
80,156
81,310
82,180
83,173
84,264
85,108
86,139
87,162
88,304
89,185
90,192
91,80
92,274
93,311
94,82
95,356
96,285
97,183
98,166
99,193
100,420
101,205
102,200
103,219
104,470
105,254
106,637
107,118
108,192
109,332
110,105
111,205
112,153
113,219
114,696
115,232
116,171
117,267
118,291
119,256
120,194
121,502
122,189
123,99
124,226
125,374
126,215
127,528
128,310
129,162
130,367
131,208
132,393
133,0
134,441
135,367
136,215
137,285
138,518
139,221
140,346
141,451
142,138
143,277
144,440
145,194
146,200
147,467
148,96
149,175
150,234
151,226
152,562
153,257
154,616
155,356
156,203
157,335
158,233
159,216
160,177
161,700
162,352
163,456
164,547
165,274
166,257
167,398
168,408
169,320
170,128
171,174
172,360
173,319
174,451
175,228
176,268
177,304
178,482
179,432
180,274
181,185
182,462
183,640
184,136
185,289
186,127
187,287
188,798
189,418
190,400
191,549
192,305
193,318
194,291
195,173
196,354
197,36
198,452
199,285
200,181
201,399
202,185
203,261
204,441
205,310
206,247
207,244
208,129
209,498
210,161
211,0
212,160
213,238
214,214
215,222
216,238
217,384
218,402
219,226
220,159
221,226
222,286
223,190
224,159
225,81
226,140
227,355
228,309
229,427
230,226
231,98
232,345
233,0
234,75
235,328
236,223
237,275
238,661
239,101
240,397
241,76
242,272
243,273
244,486
245,193
246,170
247,182
248,24
249,164
250,246
251,489
252,307
253,221
254,6
255,148
256,248
257,340
258,55
259,262
260,558
261,224
262,122
263,346
264,269
265,201
266,49
267,144
268,97
269,133
270,462
271,560
272,415
273,150
274,241
275,0
276,735
277,496
278,251
279,361
280,234
281,221
282,11
283,66
284,203
285,142
286,32
287,0
288,364
289,75
290,327
291,74
292,236
293,411
294,0
295,414
296,497
297,226
298,264
299,484
300,0
301,218
302,120
303,307
304,122
305,44
306,0
307,184
308,243
309,718
310,202
311,94
312,408
313,527
314,564
315,60
316,69
317,601
318,399
319,201
320,197
321,377
322,550
323,396
324,283
325,318
326,540
327,585
328,363
329,401
330,310
331,540
332,580
333,336
334,514
335,460
336,319
337,406
338,269
339,409
340,831
341,268
342,596
343,330
344,276
345,566
346,505
347,567
348,0
349,335
350,131
351,486
352,290
353,311
354,332
355,557
356,200
357,48
358,337
359,475
360,342
361,332
362,837
363,636
364,364
365,245
366,384
367,981
368,526
369,384
370,438
371,398
372,250
373,640
374,385
375,279
376,117
377,517
378,604
379,0
380,269
381,350
382,223
383,260
384,307
385,222
386,585
387,181
388,352
389,671
390,241
391,470
392,373
393,383
394,281
395,416
396,274
397,456
398,455
399,258
400,312
401,844
402,276
403,580
404,0
405,386
