42,42,41,42,43,43,41,42,41,43,42,41,42,40,42,42,42,42,42,41,42,42,42,43,42,40,43,42,40,42,42
22,22,22,22,22,22,22,22,22,22,24,23,22,22,22,22,22,22,22,22,22,22,21,22,22,22,22,22,22,22,20
40,40,40,41,40,40,39,40,41,39,39,40,40,42,40,40,40,39,40,40,40,40,40,39,40,41,40,40,42,40,40
38,38,38,38,38,37,39,38,38,38,39,38,37,39,38,38,39,39,38,39,38,38,37,37,38,38,38,38,36,37,40
20,21,21,20,21,21,21,21,21,21,20,21,21,22,21,21,20,21,21,21,21,21,21,21,21,21,20,21,23,21,21
23,23,24,24,24,24,26,24,24,24,24,24,24,23,24,24,24,24,24,23,24,24,24,25,25,24,24,24,25,23,24
22,21,22,22,22,22,23,22,22,22,22,21,22,22,22,22,22,22,22,22,22,21,22,22,21,22,22,22,22,22,22
19,19,20,20,20,20,19,20,20,20,20,20,20,19,20,20,20,20,20,20,20,20,19,20,20,19,20,20,20,20,21
7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,8,8,8,8,9,9,8,8,8,8,8,8,8,8
5,6,5,6,6,6,6,6,6,6,6,7,7,6,6,6,5,6,6,6,6,5,6,6,6,6,6,6,6,6,6
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
14,14,14,14,14,14,12,14,14,14,14,13,14,14,14,14,14,14,14,14,14,14,14,14,14,15,14,14,14,14,14
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
6,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,4,6,5,5,5,8,5,5,5,6,6,5,6,5
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10
6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,5,6,6,7,6,6,6,6,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,14,12,12,11,12,11,11,11,11,11,12,11,11,11,11,11,11,10,11,11,11,11,11,11,11,11,10,10,11,11
5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
