id1, lat1, lng1, id2, lat2, lng2, dist (miles)
1, 14.746832, -17.525142, 1, 14.746832, -17.525142, 0.0
1, 14.746832, -17.525142, 2, 14.747434, -17.52436, 0.06671231268795932
1, 14.746832, -17.525142, 3, 14.745198, -17.522576, 0.20517253943861372
1, 14.746832, -17.525142, 4, 14.74673, -17.516398, 0.58507480787805
2, 14.747434, -17.52436, 1, 14.746832, -17.525142, 0.06671231268795175
2, 14.747434, -17.52436, 2, 14.747434, -17.52436, 0.0
2, 14.747434, -17.52436, 3, 14.745198, -17.522576, 0.1946285995388657
2, 14.747434, -17.52436, 4, 14.74673, -17.516398, 0.5349053040147541
3, 14.745198, -17.522576, 1, 14.746832, -17.525142, 0.2051725394386206
3, 14.745198, -17.522576, 2, 14.747434, -17.52436, 0.19462859953885467
3, 14.745198, -17.522576, 3, 14.745198, -17.522576, 0.0
3, 14.745198, -17.522576, 4, 14.74673, -17.516398, 0.42656023604779736
4, 14.74673, -17.516398, 1, 14.746832, -17.525142, 0.5850748078780493
4, 14.74673, -17.516398, 2, 14.747434, -17.52436, 0.5349053040147592
4, 14.74673, -17.516398, 3, 14.745198, -17.522576, 0.42656023604779036
4, 14.74673, -17.516398, 4, 14.74673, -17.516398, 0.0
